CANPRO3.0,CANPRO4.0,unit,내용,content,var_name
way,way,NA,항목순서,NA,NA
food,food,NA,항목,NA,NA
foodg,foodg,NA,식품군,NA,NA
foodc,foodc,NA,식품코드,NA,NA
foodn,foodn,NA,식품명,NA,NA
wet,wet,g,중량,NA,NA
fvar1,var1,kcal,열량,Energy,energy
fvar2,var2,g,식물성단백질,Plant protein,plant_protein
fvar3,var3,g,동물성단백질,Animal protein,animal_protein
fvar4,var4,g,식물성지질,Plant fat,plant_fat
fvar5,var5,g,동물성지질,Animal fat,animal_fat
fvar6,var6,g,당질,Carbohydrate,carbohydrate
fvar7,var7,g,식이섬유,Fiber,fiber
fvar8,var8,g,회분,Ash,ash
fvar9,var9,mg,식물성칼슘,Plant calcium,plant_calcium
fvar10,var10,mg,동물성칼슘,Animal calcium,animal_calcium
fvar11,var11,mg,인,Phosphorus,phosphorus
fvar12,var12,mg,식물성철분,Plant iron,plant_iron
fvar13,var13,mg,동물성철분,Animal iron,animal_iron
fvar14,var14,mg,나트륨,Sodium,sodium
fvar15,var15,mg,칼륨,Potassium,potassium
fvar16,var16,mg,아연,Zinc,zinc
fvar17,var17,㎍ RE,비타민A,Vitamin A,vitamin_a
fvar18,var18,㎍,레티놀,Retinol,retinol
fvar19,var19,㎍,β-카로틴,β-carotene,beta-carotene
fvar20,var20,mg,비타민B1,Vitamin B1 (Thiamin),vitamin_b1
fvar21,var21,mg,비타민B2,Vitamin B2 (Riboflavin),vitamin_b2
fvar22,var22,mg,비타민B6,Vitamin B6,vitamin_b6
fvar23,var23,mg,나이아신,Niacin,niacin
fvar24,var24,mg,비타민C,Vitamin C,vitamin_c
fvar25,var25,㎍,엽산,Folate,folate
fvar26,var26,mg,비타민E,Vitamin E,vitamin_e
fvar27,var27,mg,콜레스테롤,Cholesterol,cholesterol
fvar28,var28,g,총지방산,Total Fatty acid,total_fatty_acid
fvar29,var29,g,포화지방산,Saturated fat,saturated_fat
fvar30,var30,g,단일불포화지방산,Monounsaturated fat,monounsaturated_fat
fvar31,var31,g,다불포화지방산,Polyunsaturated fat,polyunsaturated_fat
fvar32,var32,g,4:0,Butyric acid,butyric_acid
fvar33,var33,g,6:0,Caproic acid,caproic_acid
fvar34,var34,g,8:0,Caprylic acid,caprylic_acid
